"ID","Nome","Etiqueta","Proprietário","Pessoas","Negócios em aberto","Organização criada","Atualizado em","Visível para","Próxima atividade em","Data da última atividade","Negócios ganhos","Negócios perdidos","Negócios fechados","Total de atividades","Atividades concluídas","Atividades para fazer","Número de mensagens de e-mail","Foto de perfil","Endereço","Latitude de Endereço","Longitude de Endereço","Nº de apartamento de Endereço","Número da casa de Endereço","Nome da rua de Endereço","Distrito/sub-localidade de Endereço","Cidade/município/vila/localidade de Endereço","Estado de Endereço","Região de Endereço","País de Endereço","CEP/Código postal de Endereço","Endereço completo/combinado de Endereço","Etiquetas","[IC] Linkedin (Company Page)","CNPJ"
"11","[Exemplo] HotelFromHome","","Nicholson","0","0","2024-06-07 12:08:08","2024-07-03 23:51:44","Grupo de visibilidade do proprietário do item","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"12","GOYAZ MONTAGEM","","Gislayne","0","0","2024-06-12 12:51:15","2024-07-02 23:02:00","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"13","copral","","Gislayne","2","0","2024-06-12 13:11:30","2024-07-11 13:11:50","Grupo de visibilidade do proprietário do item","2024-07-10","","0","2","2","1","0","1","0","","","","","","","","","","","","","","","","",""
"14","Plácidos Transportes Rodoviários Ltda","","Nicholson","1","0","2024-06-12 13:12:46","2024-09-30 14:06:34","Grupo de visibilidade do proprietário do item","","2024-09-30","0","1","1","4","4","0","0","","","","","","","","","","","","","","","","https://www.linkedin.com/company/pl%C3%A1cidos-transportes-rodovi%C3%A1rios-ltda/?originalSubdomain=br",""
"15","LF Segurança","","Adriana Oliveira","0","0","2024-06-12 18:25:24","2024-07-02 23:02:04","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"16","v4","","Adriana Oliveira","1","0","2024-06-12 21:27:55","2024-06-21 16:42:46","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"17","j2m","","Gislayne","1","0","2024-06-13 15:08:20","2024-09-03 18:52:52","Grupo de visibilidade do proprietário do item","","2024-09-02","0","2","2","7","7","0","0","","","","","","","","","","","","","","","","",""
"18","diatom química","","Adriana Oliveira","1","0","2024-06-13 19:04:57","2024-07-02 23:02:08","Grupo de visibilidade do proprietário do item","","","2","0","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"19","transportes borges @","","Gislayne","1","0","2024-06-14 13:15:54","2025-03-11 11:28:36","Grupo de visibilidade do proprietário do item","","2025-02-26","0","3","3","4","4","0","0","","","","","","","","","","","","","","","","",""
"20","TEX ENGENHARIA @","","Adriana Oliveira","1","0","2024-06-14 13:20:31","2024-10-14 13:54:48","Grupo de visibilidade do proprietário do item","2025-01-06","2024-10-14","0","1","1","9","8","1","0","","","","","","","","","","","","","","","","",""
"21","imperio medic center produtos farmaceuticos e hospitalares","","Adriana Oliveira","1","0","2024-06-14 13:59:58","2024-08-13 18:56:07","Grupo de visibilidade do proprietário do item","","2024-08-12","0","2","2","4","4","0","0","","","","","","","","","","","","","","","","",""
"22","são benedito biomassa","","Gislayne","1","0","2024-06-14 19:05:37","2024-07-05 12:37:53","Grupo de visibilidade do proprietário do item","2024-07-05","2024-06-27","0","2","2","2","1","1","0","","","","","","","","","","","","","","","","",""
"23","gelnex ind. e com. ltda","","Adriana Oliveira","1","0","2024-06-18 11:03:57","2024-08-13 18:40:42","Grupo de visibilidade do proprietário do item","","2024-08-05","0","2","2","4","4","0","0","","","","","","","","","","","","","","","","",""
"24","Linear Mult Rol","","Adriana Oliveira","0","0","2024-06-18 12:43:19","2024-07-09 13:38:34","Grupo de visibilidade do proprietário do item","","2024-07-09","1","0","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"25","Ciclo Metal","","Gislayne","1","0","2024-06-18 12:45:35","2024-06-21 16:40:53","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"26","raízen","","Gislayne","4","0","2024-06-18 12:48:48","2025-06-04 13:10:21","Grupo de visibilidade do proprietário do item","2024-08-30","2025-06-03","0","3","3","31","28","3","0","","","","","","","","","","","","","","","","",""
"27","Ketten Bebidas","","Adriana Oliveira","0","0","2024-06-18 13:27:40","2024-08-23 14:15:24","Grupo de visibilidade do proprietário do item","","2024-08-07","0","1","1","3","3","0","0","","","","","","","","","","","","","","","","",""
"28","retifica sao cristovao ltda","","Gislayne","1","0","2024-06-18 19:02:31","2024-07-19 15:02:45","Grupo de visibilidade do proprietário do item","","2024-07-18","0","2","2","2","2","0","0","","","","","","","","","","","","","","","","",""
"29","usina coruripe  @","","Gislayne","1","0","2024-06-19 11:54:54","2024-07-02 23:02:16","Grupo de visibilidade do proprietário do item","","","2","0","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"30","vix transportes @","","Adriana Oliveira","1","0","2024-06-19 12:24:27","2024-09-16 18:00:50","Grupo de visibilidade do proprietário do item","","2024-09-16","0","2","2","5","5","0","0","","","","","","","","","","","","","","","","",""
"31","APM Soluçoes inteligentes @","","Adriana Oliveira","0","0","2024-06-19 14:30:10","2024-09-06 18:30:12","Grupo de visibilidade do proprietário do item","2024-09-06","2024-08-23","0","1","1","9","8","1","0","","","","","","","","","","","","","","","","",""
"32","Eficaz Transporte","","Gislayne","1","0","2024-06-19 17:26:59","2024-06-26 14:31:34","Grupo de visibilidade do proprietário do item","2024-06-26","","0","1","1","1","0","1","0","","","","","","","","","","","","","","","","",""
"33","CICLO METAL LTDA","","Gislayne","1","0","2024-06-19 19:59:33","2024-07-04 19:00:29","Grupo de visibilidade do proprietário do item","2024-07-04","","0","1","1","1","0","1","0","","","","","","","","","","","","","","","","",""
"34","Tijolão transportes","","Adriana Oliveira","0","0","2024-06-20 13:05:08","2024-07-02 23:02:18","Grupo de visibilidade do proprietário do item","2024-07-11","2024-06-27","0","1","1","2","1","1","0","","","","","","","","","","","","","","","","",""
"35","termon indústria @","","Gislayne","1","0","2024-06-20 13:06:53","2024-07-19 15:06:02","Grupo de visibilidade do proprietário do item","","2024-07-18","0","2","2","2","2","0","0","","","","","","","","","","","","","","","","",""
"36","jvl.ind","","Adriana Oliveira","0","0","2024-06-20 13:24:21","2024-08-13 18:51:32","Grupo de visibilidade do proprietário do item","","2024-08-12","0","1","1","3","3","0","0","","","","","","","","","","","","","","","","",""
"37","lefer ferramentas @","","Adriana Oliveira","1","0","2024-06-20 13:35:14","2024-07-10 14:52:44","Grupo de visibilidade do proprietário do item","","2024-07-10","0","2","2","3","3","0","0","","","","","","","","","","","","","","","","",""
"38","Gerdau @","","Adriana Oliveira","1","2","2024-06-20 19:33:30","2025-04-15 12:04:19","Grupo de visibilidade do proprietário do item","2025-02-24","2024-09-26","2","0","2","9","5","4","0","","","","","","","","","","","","","","","","","33.611.500/0182-47"
"39","S.A. Hiddro Engenharia Ambiental","","Adriana Oliveira","1","0","2024-06-21 11:55:44","2024-07-15 12:32:19","Grupo de visibilidade do proprietário do item","2024-06-28","2024-06-28","0","1","1","3","1","2","0","","","","","","","","","","","","","","","","",""
"40","apac","","Gislayne","2","0","2024-06-21 13:44:54","2024-08-26 19:06:18","Grupo de visibilidade do proprietário do item","2024-08-26","2024-08-20","0","2","2","8","7","1","0","","","","","","","","","","","","","","","","",""
"41","Grupo Ethics Segurança","","Gislayne","1","0","2024-06-21 14:57:44","2024-07-19 14:13:12","Grupo de visibilidade do proprietário do item","","2024-07-17","0","1","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"42","Macedo Transportes","","Gislayne","1","0","2024-06-21 15:50:21","2024-07-23 14:49:51","Grupo de visibilidade do proprietário do item","","2024-07-23","0","1","1","5","5","0","0","","","","","","","","","","","","","","","","",""
"43","REFRIGERANTES MARAJA S.A.","","Adriana Oliveira","0","0","2024-06-21 16:45:15","2024-07-23 12:13:57","Grupo de visibilidade do proprietário do item","2024-08-06","2024-07-19","0","1","1","5","4","1","0","","","","","","","","","","","","","","","","",""
"44","PERNAMBUCO MONTAGENS INDUSTRIAIS LTDA","","Adriana Oliveira","1","1","2024-06-25 14:01:13","2025-08-27 18:22:29","Grupo de visibilidade do proprietário do item","2025-09-02","2024-07-02","2","0","2","3","2","1","0","","","","","","","","","","","","","","","","","26.959.363/0001-42"
"45","Agera","Warm lead","Adriana Oliveira","1","1","2024-06-25 14:24:35","2025-06-10 12:02:36","Grupo de visibilidade do proprietário do item","2025-06-10","2025-11-18","1","0","1","34","31","3","0","","","","","","","","","","","","","","","Warm lead","",""
"46","agronorte nutrição animal","","Adriana Oliveira","1","0","2024-06-25 14:41:57","2024-09-11 14:56:32","Grupo de visibilidade do proprietário do item","2024-11-11","2024-09-11","0","2","2","8","7","1","0","","","","","","","","","","","","","","","","",""
"47","USINAS ITAMARATI S/A","","Adriana Oliveira","1","0","2024-06-25 15:05:27","2024-06-26 12:53:30","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"48","BVS COMERCIAL LTDA","","Adriana Oliveira","1","0","2024-06-25 15:25:28","2024-07-23 14:33:36","Grupo de visibilidade do proprietário do item","2024-07-22","2024-07-15","0","1","1","3","2","1","0","","","","","","","","","","","","","","","","",""
"49","Global Dot Com  @","","Adriana Oliveira","1","0","2024-06-25 17:42:25","2024-07-22 19:52:58","Grupo de visibilidade do proprietário do item","2024-07-19","2024-07-16","0","1","1","3","2","1","0","","","","","","","","","","","","","","","","",""
"50","ANGLO INDUSTRIA E COMERCIO DE METAIS LTDA.","","Adriana Oliveira","1","0","2024-06-25 18:30:30","2024-06-26 13:16:30","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"51","sao rafael @","","Gislayne","1","0","2024-06-25 18:36:01","2024-07-25 19:11:09","Grupo de visibilidade do proprietário do item","","2024-07-25","0","2","2","7","7","0","0","","","","","","","","","","","","","","","","",""
"52","Solvi Essencis @","","Gislayne","1","1","2024-06-25 18:36:34","2024-09-02 12:01:50","Grupo de visibilidade do proprietário do item","2024-09-02","2024-08-15","1","0","1","9","7","2","0","","","","","","","","","","","","","","","","",""
"53","abc temper @","","Gislayne","1","0","2024-06-26 13:00:42","2024-07-02 18:41:29","Grupo de visibilidade do proprietário do item","","2024-07-02","0","0","0","1","1","0","0","","","","","","","","","","","","","","","","",""
"54","mais mil foods","","Gislayne","1","0","2024-06-26 13:04:17","2024-08-08 17:52:11","Grupo de visibilidade do proprietário do item","","2024-08-06","0","1","1","4","4","0","0","","","","","","","","","","","","","","","","",""
"55","Gala IBB","","Adriana Oliveira","1","1","2024-06-26 13:12:47","2024-08-13 12:01:50","Grupo de visibilidade do proprietário do item","2024-08-13","2024-08-09","1","0","1","6","4","2","0","","","","","","","","","","","","","","","","",""
"56","A3P","","Gislayne","1","0","2024-06-26 13:14:52","2024-07-17 19:03:55","Grupo de visibilidade do proprietário do item","","2024-07-16","0","1","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"57","Energitel Engenharia e Comércio Ltda","","Gislayne","1","0","2024-06-26 13:45:36","2024-07-31 12:04:14","Grupo de visibilidade do proprietário do item","","2024-07-30","0","1","1","3","3","0","0","","","","","","","","","","","","","","","","",""
"58","grupo sn","","Adriana Oliveira","2","0","2024-06-26 13:49:01","2024-09-12 19:06:09","Grupo de visibilidade do proprietário do item","","2024-09-11","0","2","2","5","5","0","0","","","","","","","","","","","","","","","","",""
"59","intercement brasil s.a - apiai -unidade b101","","Adriana Oliveira","2","1","2024-06-26 14:14:16","2024-07-19 11:49:49","Grupo de visibilidade do proprietário do item","2024-08-09","2024-07-10","1","1","2","3","1","2","0","","","","","","","","","","","","","","","","",""
"60","usina itajobi","","Adriana Oliveira","2","0","2024-06-26 14:29:21","2024-08-08 14:21:10","Grupo de visibilidade do proprietário do item","2024-08-02","2024-07-18","0","2","2","4","3","1","0","","","","","","","","","","","","","","","","",""
"61","GECAL","","Adriana Oliveira","0","0","2024-06-26 14:48:50","2024-09-24 19:00:33","Grupo de visibilidade do proprietário do item","","2024-09-23","0","1","1","11","11","0","0","","","","","","","","","","","","","","","","",""
"62","ATEM'S DISTRIBUIDORA DE PETROLEO S.A.","","Adriana Oliveira","1","0","2024-06-26 15:01:20","2024-09-06 15:00:31","Grupo de visibilidade do proprietário do item","","2024-09-16","0","1","1","5","5","0","0","","","","","","","","","","","","","","","","",""
"63","Transal Transportadora Salvan Ltda","","Adriana Oliveira","0","0","2024-06-26 15:14:24","2024-07-03 19:56:33","Grupo de visibilidade do proprietário do item","2024-07-03","","0","1","1","1","0","1","0","","","","","","","","","","","","","","","","",""
"64","ABC Temper","","Gislayne","0","0","2024-06-26 15:30:58","2024-07-10 18:55:40","Grupo de visibilidade do proprietário do item","","2024-07-09","0","1","1","1","1","0","0","","","","","","","","","","","","","","","","",""
"65","transporte martins","","Adriana Oliveira","1","0","2024-06-26 17:36:18","2024-07-23 17:50:41","Grupo de visibilidade do proprietário do item","2024-07-22","","0","2","2","1","0","1","0","","","","","","","","","","","","","","","","",""
"66","ELASA - ELO ALIMENTACAO S/A.","","Adriana Oliveira","0","0","2024-06-26 17:43:30","2024-07-23 17:44:42","Grupo de visibilidade do proprietário do item","2024-07-22","","0","1","1","1","0","1","0","","","","","","","","","","","","","","","","",""
"67","bunge - elizangela e anselmo","","Adriana Oliveira","1","0","2024-06-26 17:57:24","2024-07-23 18:07:15","Grupo de visibilidade do proprietário do item","2024-07-22","","0","2","2","1","0","1","0","","","","","","","","","","","","","","","","",""
"68","Coedra Construção e Dragagem LTDA","","Adriana Oliveira","1","0","2024-06-26 18:15:33","2024-07-09 16:45:40","Grupo de visibilidade do proprietário do item","2024-07-03","","1","0","1","1","0","1","0","","","","","","","","","","","","","","","","",""
"69","agro solution","","Adriana Oliveira","2","0","2024-06-26 18:23:28","2024-09-09 14:58:43","Grupo de visibilidade do proprietário do item","","2024-09-09","0","2","2","6","6","0","0","","","","","","","","","","","","","","","","",""
"70","Fokar Materiais Eletricos","","Adriana Oliveira","1","0","2024-06-26 18:54:29","2024-07-10 19:00:52","Grupo de visibilidade do proprietário do item","","2024-07-10","0","1","1","1","1","0","0","","","","","","","","","","","","","","","","",""
"71","facholi sementes e nutrição","","Adriana Oliveira","1","0","2024-06-26 19:05:21","2024-07-10 19:37:42","Grupo de visibilidade do proprietário do item","2024-07-10","","0","2","2","1","0","1","0","","","","","","","","","","","","","","","","",""
"72","Auto norte","","Gislayne","1","0","2024-06-27 11:56:41","2024-07-25 15:15:29","Grupo de visibilidade do proprietário do item","","2024-07-11","0","1","1","1","1","0","0","","","","","","","","","","","","","","","","",""
"73","AURA ALMAS MINERACAO S/A","","Adriana Oliveira","1","0","2024-06-27 12:05:18","2024-07-04 13:38:48","Grupo de visibilidade do proprietário do item","2024-07-04","","0","1","1","1","0","1","0","","","","","","","","","","","","","","","","",""
"74","MM DISTRIBUIDORA DE PEIXES E CARNES LTDA","","Adriana Oliveira","0","0","2024-06-27 12:14:11","2024-07-23 16:17:53","Grupo de visibilidade do proprietário do item","2024-07-22","","0","1","1","1","0","1","0","","","","","","","","","","","","","","","","",""
"75","pepsico","","Adriana Oliveira","2","1","2024-06-27 13:17:14","2024-08-12 12:01:17","Grupo de visibilidade do proprietário do item","2024-08-12","2024-07-29","3","0","3","5","3","2","0","","","","","","","","","","","","","","","","",""
"76","AIR  PRODUCTS","","Gislayne","1","1","2024-06-27 13:55:38","2024-09-02 12:01:49","Grupo de visibilidade do proprietário do item","2024-09-02","2024-08-27","1","0","1","9","7","2","0","","","","","","","","","","","","","","","","",""
"77","TransMoscato","","Gislayne","1","0","2024-06-27 15:32:43","2024-08-15 14:35:52","Grupo de visibilidade do proprietário do item","","2024-08-14","0","1","1","5","5","0","0","","","","","","","","","","","","","","","","",""
"78","Consorcio UHE Guilman Amorin","","Gislayne","1","0","2024-06-27 17:17:46","2024-08-29 18:57:50","Grupo de visibilidade do proprietário do item","2024-08-29","2024-08-27","0","1","1","10","9","1","0","","","","","","","","","","","","","","","","",""
"79","CONSORCIO GASODUTO AZULAO","","Adriana Oliveira","1","0","2024-06-27 18:24:30","2024-07-25 18:18:10","Grupo de visibilidade do proprietário do item","2024-08-08","2024-07-25","0","1","1","4","3","1","0","","","","","","","","","","","","","","","","",""
"80","KLABIN","","Adriana Oliveira","1","0","2024-06-27 19:00:15","2024-08-01 12:47:45","Grupo de visibilidade do proprietário do item","","2024-08-01","0","1","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"81","Umoe Bioenergy S.a.","","Adriana Oliveira","0","1","2024-06-27 19:08:50","2024-09-06 12:01:54","Grupo de visibilidade do proprietário do item","2024-09-06","2024-08-19","1","0","1","7","5","2","0","","","","","","","","","","","","","","","","",""
"82","Sillion Serviços de Tecnologia Ltda","","Adriana Oliveira","2","1","2024-06-28 11:07:40","2025-01-24 12:02:23","Grupo de visibilidade do proprietário do item","2025-01-24","2025-01-16","2","0","2","3","1","2","0","","","","","","","","","","","","","","","","",""
"83","EQSAN","","Gislayne","1","0","2024-06-28 12:33:46","2024-07-25 17:18:50","Grupo de visibilidade do proprietário do item","","2024-07-25","0","1","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"84","Megh","","Gislayne","1","0","2024-06-28 12:35:09","2024-07-04 15:29:23","Grupo de visibilidade do proprietário do item","2024-07-03","","0","1","1","1","0","1","0","","","","","","","","","","","","","","","","",""
"85","Sococo S/A Indústrias Alimentícias","","Gislayne","1","0","2024-06-28 16:58:06","2024-09-06 12:01:31","Grupo de visibilidade do proprietário do item","","2024-09-16","0","1","1","5","5","0","0","","","","","","","","","","","","","","","","https://www.linkedin.com/company/sococo-s-a-ind-strias-aliment-cias/",""
"86","GERAES ARQUITETURA E ENGENHARIA LTDA","","Adriana Oliveira","1","0","2024-06-28 17:30:24","2024-09-04 15:12:37","Grupo de visibilidade do proprietário do item","","2024-09-04","0","1","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"87","Geocontrole Br Sondagens S.a.","","Adriana Oliveira","0","0","2024-06-28 18:27:53","2024-07-12 19:28:42","Grupo de visibilidade do proprietário do item","","2024-07-12","0","1","1","1","1","0","0","","","","","","","","","","","","","","","","",""
"88","Drillgeo","","Adriana Oliveira","1","0","2024-07-01 12:27:38","2024-08-23 13:52:55","Grupo de visibilidade do proprietário do item","","2024-08-06","0","1","1","3","3","0","0","","","","","","","","","","","","","","","","",""
"89","Verdejar Ambiental ltda","","Gislayne","1","0","2024-07-01 12:30:25","2024-08-20 18:15:17","Grupo de visibilidade do proprietário do item","","2024-08-20","0","1","1","6","6","0","0","","","","","","","","","","","","","","","","",""
"90","grsa","","Adriana Oliveira","1","0","2024-07-01 13:53:02","2024-07-08 13:51:29","Grupo de visibilidade do proprietário do item","2024-07-08","","0","2","2","1","0","1","0","","","","","","","","","","","","","","","","",""
"91","transjoi transportes ltda","","Adriana Oliveira","2","0","2024-07-01 14:14:10","2024-07-08 13:45:34","Grupo de visibilidade do proprietário do item","","2024-07-08","3","1","4","6","6","0","0","","","","","","","","","","","","","","","","",""
"92","G4S","","Adriana Oliveira","2","1","2024-07-01 18:37:06","2025-05-27 13:03:30","Grupo de visibilidade do proprietário do item","","2025-05-27","1","0","1","29","29","0","0","","","","","","","","","","","","","","","","",""
"1847","Extração E Comercio - Calcario Carmelo Ltda","","Adriana Oliveira","1","0","2024-07-02 16:22:01","2024-07-09 01:26:47","Grupo de visibilidade do proprietário do item","","2024-07-09","1","0","1","2","2","0","0","","","","","","","","","","","","","","","","",""
"1848","royal fic distribuidora de derivados de petroleo sa","","Adriana Oliveira","3","0","2024-07-02 17:21:11","2024-07-03 13:55:24","Grupo de visibilidade do proprietário do item","","","2","0","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"1849","usina alta mogina","Hot lead","Adriana Oliveira","2","0","2024-07-02 19:50:24","2024-10-18 18:46:21","Grupo de visibilidade do proprietário do item","2024-10-18","2024-07-15","1","1","2","5","4","1","0","","","","","","","","","","","","","","","Hot lead","","53.009.825/0027-72"
"3469","Mahnic Operadora Logistica Ltda","","Nicholson","0","0","2024-07-02 22:50:51","2024-07-02 22:53:47","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","Aparecida de Goiânia, GO","","","","","","","","","","","","","","",""
"3470","p.a. gold mineracao e metalurgia s.a.","","Nicholson","1","0","2024-07-02 22:50:51","2024-07-02 22:50:53","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","Peixoto de Azevedo, MT","","","","","","","","","","","","","","",""
"3471","STMIL MONTAGEM INDUSTRIAL LTDA","","Nicholson","2","0","2024-07-02 22:50:51","2024-07-02 22:55:18","Grupo de visibilidade do proprietário do item","","","3","0","3","0","0","0","0","","AVENIDA ANAPOLINA 195, Niquelândia, GO","","","","","","","","","","","","","","",""
"3472","wabtec","","Nicholson","1","0","2024-07-02 22:50:51","2024-07-02 22:50:53","Grupo de visibilidade do proprietário do item","","","0","1","1","0","0","0","0","","CONTAGEM, MG","","","","","","","","","","","","","","",""
"3473","CONSTRUTORA TERRACO LTDA.","","Nicholson","6","0","2024-07-02 22:50:51","2025-02-18 17:42:36","Grupo de visibilidade do proprietário do item","","2025-01-15","3","3","6","1","1","0","0","","Rua Cláudio Manoel 1149, Belo Horizonte, MG","","","","","","","","","","","","","","",""
"3474","Owens-illinois Do Brasil Industria E Comercio Ltda","","Nicholson","3","1","2024-07-02 22:50:51","2026-01-19 11:45:56","Grupo de visibilidade do proprietário do item","2026-01-21","2026-01-15","4","0","4","10","8","2","0","","Avenida Olavo Egídio de Souza Aranha 2270, São Paulo, SP","","","","","","","","","","","","","","","08.910.541/0005-92"
"3475","CMOC BRASIL MINERA��O, IND�STRIA E PARTICIPA��ES LTDA","","Nicholson","1","0","2024-07-02 22:50:51","2024-07-02 22:50:53","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"3476","RODONAVES TRANSPORTES E ENCOMENDAS LTDA","","Nicholson","2","0","2024-07-02 22:50:51","2024-08-02 12:30:45","Grupo de visibilidade do proprietário do item","","","3","1","4","0","0","0","0","","Rua General Augusto Soares dos Santos 550, Ribeirão Preto, SP","","","","","","","","","","","","","","",""
"3477","Usina Ipojuca S/A","","Nicholson","2","0","2024-07-02 22:50:51","2024-07-02 22:53:53","Grupo de visibilidade do proprietário do item","","","2","0","2","0","0","0","0","","Eng Conceicao Velha S/N, Ipojuca, PE","","","","","","","","","","","","","","",""
"3478","Por� Sistema de Remo��es Ltda.","","Nicholson","1","0","2024-07-02 22:50:51","2024-07-02 22:55:30","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","Avenida Nove de Abril, Cubatão, SP","","","","","","","","","","","","","","",""
"3479","THARLES JOS� DAS GRA�AS MORAIS","","Nicholson","1","0","2024-07-02 22:50:54","2024-07-02 22:52:18","Grupo de visibilidade do proprietário do item","","","2","0","2","0","0","0","0","","Rua Danilo Bicalho 155, João Monlevade, MG","","","","","","","","","","","","","","",""
"3480","INTERCEMENT BRASIL S.A.","","Nicholson","1","0","2024-07-02 22:50:54","2024-07-02 22:50:57","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","R FERREIRA VIANA 845, SAO PAULO, SP","","","","","","","","","","","","","","",""
"3481","OLVEGO OLEOS VEGETAIS DE GOIAS LTDA","","Nicholson","1","0","2024-07-02 22:50:55","2024-07-02 22:50:57","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","ROD GO 330 KM 01 S/N, PIRES DO RIO, GO","","","","","","","","","","","","","","",""
"3482","ABRASUL ABRASIVO EPIS SOLDAS LTDA 001","","Nicholson","1","0","2024-07-02 22:50:55","2024-07-02 22:50:57","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"3483","PERBRAS EMPRESA BRASILEIRA DE PERFURACOES LTDA","","Nicholson","1","0","2024-07-02 22:50:55","2024-07-02 22:50:57","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"3484","NORSA REFRIGERANTES S.A","","Nicholson","0","0","2024-07-02 22:50:55","2024-07-02 22:51:00","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","V URBANA S/N, SIMOES FILHO, BA","","","","","","","","","","","","","","",""
"3485","Gerdau A�os Longos S.A.","","Nicholson","2","0","2024-07-02 22:50:55","2024-07-02 22:57:09","Grupo de visibilidade do proprietário do item","","","2","1","3","0","0","0","0","","AV. Getulio Vargas 1555, Barão de Cocais, MG","","","","","","","","","","","","","","",""
"3486","CONSORCIO SAO BERNARDO AMBIENTAL","","Nicholson","0","0","2024-07-02 22:50:55","2024-07-02 22:54:14","Grupo de visibilidade do proprietário do item","","","1","0","1","0","0","0","0","","","","","","","","","","","","","","","","",""
